Episode 149 | Loss: 0.062 | Policy: 0.059 | Value: 0.017 | Reward: -40.03
Episode 150 | Loss: 0.029 | Policy: 0.010 | Value: 0.046 | Reward: -30.03
Episode 151 | Loss: 0.056 | Policy: 0.028 | Value: 0.062 | Reward: -20.03
Episode 152 | Loss: 0.756 | Policy: 0.544 | Value: 0.431 | Reward: -40.03
Episode 153 | Loss: 0.373 | Policy: 0.304 | Value: 0.146 | Reward: -20.03
Episode 154 | Loss: 0.544 | Policy: 0.418 | Value: 0.258 | Reward: -30.03
Episode 155 | Loss: 0.519 | Policy: 0.401 | Value: 0.244 | Reward: -40.04
Episode 156 | Loss: 0.006 | Policy: -0.044 | Value: 0.108 | Reward: -20.04
Episode 157 | Loss: -0.048 | Policy: -0.055 | Value: 0.022 | Reward: -40.04
Episode 158 | Loss: -0.043 | Policy: -0.050 | Value: 0.019 | Reward: -40.03
Episode 159 | Loss: 0.117 | Policy: 0.105 | Value: 0.029 | Reward: -40.04
Episode 160 | Loss: 0.108 | Policy: 0.099 | Value: 0.023 | Reward: -40.03
Episode 161 | Loss: -0.005 | Policy: -0.047 | Value: 0.089 | Reward: -30.03
Episode 162 | Loss: -0.004 | Policy: -0.005 | Value: 0.007 | Reward: -40.03
Episode 163 | Loss: 0.137 | Policy: 0.125 | Value: 0.029 | Reward: -40.04
Episode 164 | Loss: 0.027 | Policy: 0.019 | Value: 0.022 | Reward: -30.03
Episode 165 | Loss: 0.313 | Policy: 0.263 | Value: 0.105 | Reward: -40.03
Episode 166 | Loss: 0.031 | Policy: 0.013 | Value: 0.041 | Reward: -20.03
Episode 167 | Loss: 0.201 | Policy: 0.178 | Value: 0.051 | Reward: -30.04
Episode 168 | Loss: 0.392 | Policy: 0.318 | Value: 0.154 | Reward: -40.03
Episode 169 | Loss: -0.003 | Policy: -0.029 | Value: 0.058 | Reward: -20.04
Episode 170 | Loss: -0.011 | Policy: -0.038 | Value: 0.061 | Reward: -20.03
Episode 171 | Loss: 0.109 | Policy: 0.097 | Value: 0.030 | Reward: -30.03
Episode 172 | Loss: 0.280 | Policy: 0.230 | Value: 0.108 | Reward: -40.03
Episode 173 | Loss: 0.074 | Policy: 0.060 | Value: 0.034 | Reward: -40.04
Episode 174 | Loss: -0.004 | Policy: -0.115 | Value: 0.229 | Reward: -30.04
Episode 175 | Loss: -0.050 | Policy: -0.135 | Value: 0.178 | Reward: -40.03
Episode 176 | Loss: 0.027 | Policy: -0.118 | Value: 0.299 | Reward: -30.04
Episode 177 | Loss: -0.045 | Policy: -0.049 | Value: 0.017 | Reward: -40.03
Episode 178 | Loss: 0.314 | Policy: 0.265 | Value: 0.109 | Reward: -40.03
Episode 179 | Loss: 0.536 | Policy: 0.415 | Value: 0.252 | Reward: -40.03
Episode 180 | Loss: 0.240 | Policy: 0.211 | Value: 0.070 | Reward: -30.03
Episode 181 | Loss: 0.238 | Policy: 0.210 | Value: 0.067 | Reward: -40.03
Episode 182 | Loss: -0.024 | Policy: -0.029 | Value: 0.021 | Reward: -40.03
Episode 183 | Loss: -0.043 | Policy: -0.078 | Value: 0.083 | Reward: -40.03
Episode 184 | Loss: 0.023 | Policy: -0.085 | Value: 0.229 | Reward: -30.04
Episode 185 | Loss: 0.012 | Policy: 0.016 | Value: 0.004 | Reward: -40.03
Episode 186 | Loss: 0.295 | Policy: 0.253 | Value: 0.095 | Reward: -40.03
Episode 187 | Loss: 0.415 | Policy: 0.336 | Value: 0.169 | Reward: -40.03
Episode 188 | Loss: 0.085 | Policy: 0.084 | Value: 0.015 | Reward: -30.03
Episode 189 | Loss: 0.042 | Policy: 0.040 | Value: 0.015 | Reward: -40.04
Episode 190 | Loss: 0.019 | Policy: -0.130 | Value: 0.311 | Reward: -30.03
Episode 191 | Loss: -0.034 | Policy: -0.165 | Value: 0.275 | Reward: -40.03
Episode 192 | Loss: 0.258 | Policy: -0.147 | Value: 0.820 | Reward: -20.03
Episode 193 | Loss: -0.063 | Policy: -0.109 | Value: 0.101 | Reward: -40.04
Episode 194 | Loss: 0.039 | Policy: 0.035 | Value: 0.015 | Reward: -40.03
Episode 195 | Loss: 0.001 | Policy: -0.022 | Value: 0.051 | Reward: -20.03
Episode 196 | Loss: 0.553 | Policy: 0.422 | Value: 0.265 | Reward: -40.03
Episode 197 | Loss: 0.406 | Policy: 0.328 | Value: 0.159 | Reward: -30.04
Episode 198 | Loss: 0.580 | Policy: 0.440 | Value: 0.282 | Reward: -40.03
Episode 199 | Loss: 0.268 | Policy: 0.230 | Value: 0.080 | Reward: -40.03
Episode 200 | Loss: -0.028 | Policy: -0.035 | Value: 0.018 | Reward: -40.03
Episode 201 | Loss: -0.024 | Policy: -0.070 | Value: 0.094 | Reward: -40.04
Episode 202 | Loss: 0.067 | Policy: -0.072 | Value: 0.281 | Reward: -30.03
Episode 203 | Loss: -0.017 | Policy: -0.024 | Value: 0.016 | Reward: -40.03
Episode 204 | Loss: 0.214 | Policy: 0.188 | Value: 0.054 | Reward: -40.04
Episode 205 | Loss: 0.128 | Policy: 0.116 | Value: 0.026 | Reward: -30.03
Episode 206 | Loss: 0.312 | Policy: 0.262 | Value: 0.101 | Reward: -40.03
Episode 207 | Loss: 0.098 | Policy: 0.091 | Value: 0.015 | Reward: -40.03
Episode 208 | Loss: 0.149 | Policy: -0.071 | Value: 0.441 | Reward: -20.03
Episode 209 | Loss: -0.022 | Policy: -0.100 | Value: 0.156 | Reward: -40.03
Episode 210 | Loss: 0.061 | Policy: -0.099 | Value: 0.320 | Reward: -30.04
Episode 211 | Loss: -0.046 | Policy: -0.060 | Value: 0.029 | Reward: -40.03
Episode 212 | Loss: 0.190 | Policy: 0.165 | Value: 0.049 | Reward: -40.04
Episode 213 | Loss: 0.353 | Policy: 0.288 | Value: 0.130 | Reward: -40.03
Episode 214 | Loss: 0.102 | Policy: 0.092 | Value: 0.019 | Reward: -30.03
Episode 215 | Loss: -0.008 | Policy: -0.015 | Value: 0.013 | Reward: -30.04
Episode 216 | Loss: 0.095 | Policy: 0.087 | Value: 0.017 | Reward: -40.03
Episode 217 | Loss: -0.029 | Policy: -0.032 | Value: 0.008 | Reward: -40.03
Episode 218 | Loss: -0.000 | Policy: -0.038 | Value: 0.075 | Reward: -30.03
Episode 219 | Loss: 0.114 | Policy: 0.105 | Value: 0.018 | Reward: -40.03
Episode 220 | Loss: 0.109 | Policy: 0.101 | Value: 0.017 | Reward: -40.03
Episode 221 | Loss: 0.015 | Policy: -0.027 | Value: 0.085 | Reward: -30.04
Episode 222 | Loss: 0.014 | Policy: -0.025 | Value: 0.080 | Reward: -30.03
Episode 223 | Loss: 0.012 | Policy: 0.004 | Value: 0.017 | Reward: -30.03
Episode 224 | Loss: 0.476 | Policy: 0.375 | Value: 0.202 | Reward: -40.03
Episode 225 | Loss: 0.636 | Policy: 0.474 | Value: 0.323 | Reward: -40.03
Episode 226 | Loss: 0.551 | Policy: 0.422 | Value: 0.258 | Reward: -40.03
Episode 227 | Loss: 0.281 | Policy: 0.238 | Value: 0.087 | Reward: -40.04
Episode 228 | Loss: -0.031 | Policy: -0.036 | Value: 0.010 | Reward: -40.03
Episode 229 | Loss: -0.043 | Policy: -0.070 | Value: 0.056 | Reward: -40.03
Episode 230 | Loss: -0.041 | Policy: -0.064 | Value: 0.046 | Reward: -40.03
Episode 231 | Loss: -0.008 | Policy: -0.010 | Value: 0.004 | Reward: -40.04
Episode 232 | Loss: 0.294 | Policy: 0.249 | Value: 0.090 | Reward: -40.03
Episode 233 | Loss: 0.457 | Policy: 0.363 | Value: 0.188 | Reward: -40.03
Episode 234 | Loss: 0.402 | Policy: 0.325 | Value: 0.153 | Reward: -40.03
Episode 235 | Loss: 0.170 | Policy: 0.151 | Value: 0.038 | Reward: -40.03
Episode 236 | Loss: -0.002 | Policy: -0.021 | Value: 0.037 | Reward: -40.03
Episode 237 | Loss: 0.004 | Policy: -0.054 | Value: 0.115 | Reward: -40.03
Episode 238 | Loss: 0.090 | Policy: -0.060 | Value: 0.301 | Reward: -30.03
Episode 239 | Loss: -0.005 | Policy: -0.016 | Value: 0.021 | Reward: -40.03
Episode 240 | Loss: 0.181 | Policy: 0.161 | Value: 0.039 | Reward: -40.03
Episode 241 | Loss: 0.317 | Policy: 0.266 | Value: 0.102 | Reward: -40.03
Episode 242 | Loss: 0.263 | Policy: 0.226 | Value: 0.074 | Reward: -40.03
Episode 243 | Loss: 0.062 | Policy: 0.059 | Value: 0.007 | Reward: -40.03
Episode 244 | Loss: -0.033 | Policy: -0.069 | Value: 0.072 | Reward: -40.03
Episode 245 | Loss: 0.087 | Policy: -0.103 | Value: 0.380 | Reward: -30.03
Episode 246 | Loss: -0.067 | Policy: -0.082 | Value: 0.030 | Reward: -50.03
Episode 247 | Loss: -0.039 | Policy: -0.059 | Value: 0.041 | Reward: -40.03
Episode 248 | Loss: 0.002 | Policy: -0.004 | Value: 0.012 | Reward: -30.04
Episode 249 | Loss: 1.049 | Policy: 0.700 | Value: 0.699 | Reward: -50.03
Episode 250 | Loss: 1.018 | Policy: 0.684 | Value: 0.668 | Reward: -40.03
Episode 251 | Loss: 0.786 | Policy: 0.559 | Value: 0.454 | Reward: -30.03
Episode 252 | Loss: 0.946 | Policy: 0.647 | Value: 0.598 | Reward: -40.03
Episode 253 | Loss: 0.575 | Policy: 0.437 | Value: 0.276 | Reward: -40.03
Episode 254 | Loss: 0.012 | Policy: 0.007 | Value: 0.010 | Reward: -30.04
Episode 255 | Loss: -0.013 | Policy: -0.015 | Value: 0.005 | Reward: -40.03
Episode 256 | Loss: -0.015 | Policy: -0.017 | Value: 0.005 | Reward: -40.03
Episode 257 | Loss: 0.087 | Policy: 0.082 | Value: 0.011 | Reward: -40.03
Episode 258 | Loss: 0.069 | Policy: 0.065 | Value: 0.008 | Reward: -40.03
Episode 259 | Loss: -0.010 | Policy: -0.015 | Value: 0.011 | Reward: -40.03
Episode 260 | Loss: -0.008 | Policy: -0.014 | Value: 0.012 | Reward: -40.04
Episode 261 | Loss: 0.047 | Policy: 0.045 | Value: 0.005 | Reward: -40.03
Episode 262 | Loss: 0.028 | Policy: 0.027 | Value: 0.002 | Reward: -40.03
Episode 263 | Loss: 0.019 | Policy: -0.049 | Value: 0.136 | Reward: -30.03
Episode 264 | Loss: -0.036 | Policy: -0.048 | Value: 0.024 | Reward: -40.03
Episode 265 | Loss: 0.003 | Policy: 0.000 | Value: 0.005 | Reward: -40.03
Episode 266 | Loss: 0.036 | Policy: -0.019 | Value: 0.111 | Reward: -20.03
Episode 267 | Loss: 0.036 | Policy: 0.024 | Value: 0.025 | Reward: -20.03
Episode 268 | Loss: 0.278 | Policy: 0.231 | Value: 0.093 | Reward: -20.03
Episode 269 | Loss: 1.081 | Policy: 0.717 | Value: 0.729 | Reward: -40.03
Episode 270 | Loss: 1.066 | Policy: 0.709 | Value: 0.714 | Reward: -40.03
Episode 271 | Loss: 0.805 | Policy: 0.572 | Value: 0.466 | Reward: -40.03
Episode 272 | Loss: 0.162 | Policy: 0.145 | Value: 0.034 | Reward: -30.03
Episode 273 | Loss: -0.006 | Policy: -0.037 | Value: 0.062 | Reward: -30.03
Episode 274 | Loss: -0.040 | Policy: -0.073 | Value: 0.067 | Reward: -40.03
Episode 275 | Loss: 0.039 | Policy: -0.090 | Value: 0.258 | Reward: -30.04
Episode 276 | Loss: -0.046 | Policy: -0.067 | Value: 0.043 | Reward: -40.03
Episode 277 | Loss: -0.019 | Policy: -0.032 | Value: 0.028 | Reward: -30.03
Episode 278 | Loss: 0.436 | Policy: 0.347 | Value: 0.180 | Reward: -40.03
Episode 279 | Loss: 0.681 | Policy: 0.499 | Value: 0.364 | Reward: -40.03
Episode 280 | Loss: 0.426 | Policy: 0.340 | Value: 0.172 | Reward: -30.03
Episode 281 | Loss: 0.268 | Policy: 0.228 | Value: 0.080 | Reward: -30.04
Episode 282 | Loss: 0.024 | Policy: 0.023 | Value: 0.004 | Reward: -30.04
Episode 283 | Loss: 0.074 | Policy: -0.052 | Value: 0.253 | Reward: -20.03
Episode 284 | Loss: -0.037 | Policy: -0.061 | Value: 0.048 | Reward: -40.03
Episode 285 | Loss: -0.034 | Policy: -0.051 | Value: 0.035 | Reward: -40.03
Episode 286 | Loss: -0.001 | Policy: -0.001 | Value: 0.001 | Reward: -40.03
Episode 287 | Loss: 0.029 | Policy: 0.026 | Value: 0.007 | Reward: -30.03
Episode 288 | Loss: 0.567 | Policy: 0.433 | Value: 0.268 | Reward: -40.03
Episode 289 | Loss: 0.750 | Policy: 0.540 | Value: 0.420 | Reward: -40.03
Episode 290 | Loss: 0.707 | Policy: 0.514 | Value: 0.385 | Reward: -40.03
Episode 291 | Loss: 0.220 | Policy: 0.192 | Value: 0.057 | Reward: -30.03
Episode 292 | Loss: -0.017 | Policy: -0.020 | Value: 0.007 | Reward: -30.03
Episode 293 | Loss: 0.023 | Policy: 0.018 | Value: 0.012 | Reward: -40.03
Episode 294 | Loss: -0.047 | Policy: -0.067 | Value: 0.042 | Reward: -40.03
Episode 295 | Loss: -0.032 | Policy: -0.062 | Value: 0.063 | Reward: -40.03
Episode 296 | Loss: 0.033 | Policy: -0.042 | Value: 0.154 | Reward: -30.03
Episode 297 | Loss: 0.078 | Policy: -0.002 | Value: 0.166 | Reward: -20.03
Episode 298 | Loss: 0.485 | Policy: 0.382 | Value: 0.211 | Reward: -40.03
Episode 299 | Loss: 0.721 | Policy: 0.526 | Value: 0.397 | Reward: -40.03
Episode 300 | Loss: 0.406 | Policy: 0.326 | Value: 0.171 | Reward: -30.03
Episode 301 | Loss: 0.249 | Policy: 0.212 | Value: 0.083 | Reward: -30.03
Episode 302 | Loss: 0.049 | Policy: 0.046 | Value: 0.016 | Reward: -30.03
Episode 303 | Loss: -0.012 | Policy: -0.026 | Value: 0.037 | Reward: -30.03
Episode 304 | Loss: -0.039 | Policy: -0.052 | Value: 0.037 | Reward: -30.03
Episode 305 | Loss: -0.020 | Policy: -0.021 | Value: 0.015 | Reward: -30.03
Episode 306 | Loss: 0.198 | Policy: 0.173 | Value: 0.063 | Reward: -30.03
Episode 307 | Loss: 0.290 | Policy: 0.243 | Value: 0.107 | Reward: -30.03
Episode 308 | Loss: 0.459 | Policy: 0.355 | Value: 0.222 | Reward: -40.03
Episode 309 | Loss: 0.229 | Policy: 0.193 | Value: 0.088 | Reward: -40.03
Episode 310 | Loss: -0.065 | Policy: -0.098 | Value: 0.084 | Reward: -30.03
