H:\AI Course\GNN_VRP\core\training\trainer.py:24: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  state_t = torch.tensor(state, dtype=torch.float32).unsqueeze(0).to(self.device)
Episode 135 | Loss: 24.072 | Policy: 0.691 | Value: 46.763 | Entropy: 0.031
Episode 136 | Loss: 31.181 | Policy: 4.010 | Value: 54.343 | Entropy: 0.030
Episode 137 | Loss: 24.566 | Policy: 3.132 | Value: 42.869 | Entropy: 0.030
Episode 138 | Loss: 23.699 | Policy: 2.435 | Value: 42.528 | Entropy: 0.030
Episode 139 | Loss: 19.526 | Policy: 1.587 | Value: 35.878 | Entropy: 0.030
Episode 140 | Loss: 24.445 | Policy: 0.209 | Value: 48.471 | Entropy: 0.030
Episode 141 | Loss: 27.716 | Policy: 0.038 | Value: 55.358 | Entropy: 0.030
Episode 142 | Loss: 19.233 | Policy: 1.584 | Value: 35.299 | Entropy: 0.030
Episode 143 | Loss: 18.815 | Policy: 1.844 | Value: 33.943 | Entropy: 0.030
Episode 144 | Loss: 31.721 | Policy: 3.509 | Value: 56.424 | Entropy: 0.030
Episode 145 | Loss: 24.802 | Policy: 3.227 | Value: 43.151 | Entropy: 0.030
Episode 146 | Loss: 14.273 | Policy: 1.116 | Value: 26.316 | Entropy: 0.030
Episode 147 | Loss: 25.793 | Policy: 0.218 | Value: 51.152 | Entropy: 0.030
Episode 148 | Loss: 14.880 | Policy: 0.892 | Value: 27.977 | Entropy: 0.030
Episode 149 | Loss: 14.626 | Policy: 1.346 | Value: 26.561 | Entropy: 0.030
Episode 150 | Loss: 43.629 | Policy: 3.751 | Value: 79.758 | Entropy: 0.030
Episode 151 | Loss: 30.676 | Policy: 3.447 | Value: 54.458 | Entropy: 0.030
Episode 152 | Loss: 27.207 | Policy: 0.084 | Value: 54.246 | Entropy: 0.030
Episode 153 | Loss: 21.141 | Policy: 0.656 | Value: 40.971 | Entropy: 0.031
Episode 154 | Loss: 27.052 | Policy: 0.391 | Value: 53.322 | Entropy: 0.031
Episode 155 | Loss: 21.345 | Policy: 1.569 | Value: 39.553 | Entropy: 0.031
Episode 156 | Loss: 27.873 | Policy: 3.544 | Value: 48.658 | Entropy: 0.030
Episode 157 | Loss: 24.848 | Policy: 3.033 | Value: 43.631 | Entropy: 0.030
Episode 158 | Loss: 19.997 | Policy: 2.066 | Value: 35.863 | Entropy: 0.030
Episode 159 | Loss: 22.942 | Policy: 1.688 | Value: 42.509 | Entropy: 0.031
Episode 160 | Loss: 26.491 | Policy: 1.707 | Value: 49.570 | Entropy: 0.031
Episode 161 | Loss: 25.865 | Policy: 0.576 | Value: 50.579 | Entropy: 0.031
Episode 162 | Loss: 25.925 | Policy: 1.882 | Value: 48.086 | Entropy: 0.031
Episode 163 | Loss: 18.900 | Policy: 1.603 | Value: 34.594 | Entropy: 0.031
Episode 164 | Loss: 14.981 | Policy: 1.429 | Value: 27.104 | Entropy: 0.031
Episode 165 | Loss: 22.331 | Policy: 1.661 | Value: 41.341 | Entropy: 0.031
Episode 166 | Loss: 22.152 | Policy: 2.152 | Value: 40.002 | Entropy: 0.031
Episode 167 | Loss: 18.285 | Policy: 1.886 | Value: 32.800 | Entropy: 0.031
Episode 168 | Loss: 27.957 | Policy: 2.434 | Value: 51.046 | Entropy: 0.032
Episode 169 | Loss: 19.618 | Policy: 1.522 | Value: 36.193 | Entropy: 0.032
Episode 170 | Loss: 26.463 | Policy: 1.637 | Value: 49.653 | Entropy: 0.032
Episode 171 | Loss: 40.309 | Policy: -0.156 | Value: 80.930 | Entropy: 0.032
Episode 172 | Loss: 32.419 | Policy: 0.016 | Value: 64.808 | Entropy: 0.032
Episode 173 | Loss: 22.290 | Policy: 1.249 | Value: 42.083 | Entropy: 0.032
Episode 174 | Loss: 61.423 | Policy: 6.562 | Value: 109.723 | Entropy: 0.031
Episode 175 | Loss: 64.207 | Policy: 6.048 | Value: 116.318 | Entropy: 0.031
Episode 176 | Loss: 17.946 | Policy: 0.918 | Value: 34.057 | Entropy: 0.032
Episode 177 | Loss: 26.890 | Policy: 0.202 | Value: 53.376 | Entropy: 0.033
Episode 178 | Loss: 46.212 | Policy: 0.008 | Value: 92.409 | Entropy: 0.033
Episode 179 | Loss: 40.557 | Policy: 3.285 | Value: 74.544 | Entropy: 0.032
Episode 180 | Loss: 33.622 | Policy: 3.678 | Value: 59.887 | Entropy: 0.032
Episode 181 | Loss: 26.567 | Policy: 2.429 | Value: 48.277 | Entropy: 0.032
Episode 182 | Loss: 18.831 | Policy: 1.105 | Value: 35.453 | Entropy: 0.033
Episode 183 | Loss: 23.823 | Policy: 0.568 | Value: 46.512 | Entropy: 0.033
Episode 184 | Loss: 21.692 | Policy: 0.972 | Value: 41.440 | Entropy: 0.033
Episode 185 | Loss: 23.103 | Policy: 1.903 | Value: 42.400 | Entropy: 0.033
Episode 186 | Loss: 28.877 | Policy: 2.412 | Value: 52.932 | Entropy: 0.033
Episode 187 | Loss: 19.939 | Policy: 1.616 | Value: 36.646 | Entropy: 0.033
Episode 188 | Loss: 19.100 | Policy: 0.443 | Value: 37.315 | Entropy: 0.034
Episode 189 | Loss: 18.890 | Policy: 1.511 | Value: 34.759 | Entropy: 0.033
Episode 190 | Loss: 17.171 | Policy: 1.550 | Value: 31.242 | Entropy: 0.033
Episode 191 | Loss: 48.533 | Policy: 4.704 | Value: 87.658 | Entropy: 0.033
Episode 192 | Loss: 32.317 | Policy: 2.488 | Value: 59.660 | Entropy: 0.035
Episode 193 | Loss: 19.787 | Policy: 0.500 | Value: 38.575 | Entropy: 0.036
Episode 194 | Loss: 24.876 | Policy: 1.053 | Value: 47.646 | Entropy: 0.037
Episode 195 | Loss: 25.309 | Policy: 0.230 | Value: 50.159 | Entropy: 0.037
Episode 196 | Loss: 19.054 | Policy: 0.747 | Value: 36.614 | Entropy: 0.037
Episode 197 | Loss: 30.686 | Policy: 3.117 | Value: 55.137 | Entropy: 0.036
Episode 198 | Loss: 20.640 | Policy: 1.875 | Value: 37.530 | Entropy: 0.035
Episode 199 | Loss: 22.061 | Policy: 2.058 | Value: 40.006 | Entropy: 0.035
Episode 200 | Loss: 21.066 | Policy: 2.668 | Value: 36.796 | Entropy: 0.036
Episode 201 | Loss: 23.819 | Policy: 2.156 | Value: 43.327 | Entropy: 0.037
Episode 202 | Loss: 18.334 | Policy: 0.277 | Value: 36.114 | Entropy: 0.038
Episode 203 | Loss: 48.075 | Policy: 4.593 | Value: 86.965 | Entropy: 0.039
Episode 204 | Loss: 35.965 | Policy: 0.330 | Value: 71.271 | Entropy: 0.040
Episode 205 | Loss: 31.792 | Policy: 2.060 | Value: 59.465 | Entropy: 0.041
Episode 206 | Loss: 24.640 | Policy: 0.126 | Value: 49.028 | Entropy: 0.041
Episode 207 | Loss: 18.065 | Policy: 1.752 | Value: 32.626 | Entropy: 0.031
Episode 208 | Loss: 49.207 | Policy: 5.543 | Value: 87.328 | Entropy: 0.019
Episode 209 | Loss: 35.320 | Policy: 4.736 | Value: 61.169 | Entropy: 0.027
Episode 210 | Loss: 20.011 | Policy: 0.808 | Value: 38.407 | Entropy: 0.040
Episode 211 | Loss: 30.391 | Policy: 0.189 | Value: 60.404 | Entropy: 0.041
Episode 212 | Loss: 65.491 | Policy: -0.287 | Value: 131.558 | Entropy: 0.040
Episode 213 | Loss: 27.719 | Policy: 0.240 | Value: 54.958 | Entropy: 0.037
Episode 214 | Loss: 31.474 | Policy: 4.266 | Value: 54.417 | Entropy: 0.035
Episode 215 | Loss: 76.191 | Policy: 7.670 | Value: 137.042 | Entropy: 0.034
Episode 216 | Loss: 51.198 | Policy: 5.338 | Value: 91.720 | Entropy: 0.034
Episode 217 | Loss: 33.836 | Policy: 2.756 | Value: 62.162 | Entropy: 0.035
Episode 218 | Loss: 41.352 | Policy: 0.491 | Value: 81.722 | Entropy: 0.037
Episode 219 | Loss: 64.956 | Policy: 0.273 | Value: 129.367 | Entropy: 0.038
Episode 220 | Loss: 24.638 | Policy: 0.527 | Value: 48.224 | Entropy: 0.037
Episode 221 | Loss: 22.631 | Policy: 2.732 | Value: 39.799 | Entropy: 0.036
Episode 222 | Loss: 53.748 | Policy: 6.086 | Value: 95.326 | Entropy: 0.036
Episode 223 | Loss: 40.666 | Policy: 4.237 | Value: 72.859 | Entropy: 0.037
Episode 224 | Loss: 34.791 | Policy: 3.708 | Value: 62.167 | Entropy: 0.039
Episode 225 | Loss: 21.790 | Policy: 2.611 | Value: 38.359 | Entropy: 0.040
Episode 226 | Loss: 34.047 | Policy: 0.003 | Value: 68.090 | Entropy: 0.041
Episode 227 | Loss: 74.421 | Policy: -0.289 | Value: 149.421 | Entropy: 0.042
Episode 228 | Loss: 24.933 | Policy: 0.163 | Value: 49.541 | Entropy: 0.041
Episode 229 | Loss: 27.112 | Policy: 3.467 | Value: 47.291 | Entropy: 0.042
Episode 230 | Loss: 52.821 | Policy: 5.595 | Value: 94.453 | Entropy: 0.040
Episode 231 | Loss: 21.804 | Policy: 2.260 | Value: 39.090 | Entropy: 0.039
Episode 232 | Loss: 27.222 | Policy: 3.194 | Value: 48.057 | Entropy: 0.038
Episode 233 | Loss: 27.916 | Policy: 2.536 | Value: 50.762 | Entropy: 0.038
Episode 234 | Loss: 40.388 | Policy: 2.440 | Value: 75.897 | Entropy: 0.040
Episode 235 | Loss: 37.514 | Policy: 1.637 | Value: 71.756 | Entropy: 0.043
Episode 236 | Loss: 66.200 | Policy: 0.481 | Value: 131.439 | Entropy: 0.045
Episode 237 | Loss: 23.625 | Policy: 1.596 | Value: 44.059 | Entropy: 0.047
Episode 238 | Loss: 51.431 | Policy: 5.134 | Value: 92.596 | Entropy: 0.047
Episode 239 | Loss: 37.952 | Policy: 3.309 | Value: 69.287 | Entropy: 0.041
Episode 240 | Loss: 34.333 | Policy: 2.925 | Value: 62.817 | Entropy: 0.045
Episode 241 | Loss: 37.442 | Policy: 3.591 | Value: 67.703 | Entropy: 0.052
Episode 242 | Loss: 57.320 | Policy: 0.024 | Value: 114.594 | Entropy: 0.055
Episode 243 | Loss: 40.031 | Policy: 0.459 | Value: 79.146 | Entropy: 0.053
Episode 244 | Loss: 40.018 | Policy: 3.316 | Value: 73.404 | Entropy: 0.051
Episode 245 | Loss: 28.597 | Policy: 1.662 | Value: 53.871 | Entropy: 0.050
Episode 246 | Loss: 26.594 | Policy: 2.069 | Value: 49.052 | Entropy: 0.049
Episode 247 | Loss: 29.181 | Policy: 1.469 | Value: 55.424 | Entropy: 0.048
Episode 248 | Loss: 47.801 | Policy: -0.031 | Value: 95.664 | Entropy: 0.047
Episode 249 | Loss: 39.079 | Policy: 4.116 | Value: 69.927 | Entropy: 0.047
Episode 250 | Loss: 25.569 | Policy: 3.066 | Value: 45.007 | Entropy: 0.048
Episode 251 | Loss: 20.801 | Policy: 1.423 | Value: 38.758 | Entropy: 0.049
Episode 252 | Loss: 26.082 | Policy: 1.919 | Value: 48.325 | Entropy: 0.050
Episode 253 | Loss: 30.226 | Policy: 1.716 | Value: 57.022 | Entropy: 0.051
Episode 254 | Loss: 23.134 | Policy: 1.837 | Value: 42.594 | Entropy: 0.051
Episode 255 | Loss: 22.440 | Policy: 1.219 | Value: 42.443 | Entropy: 0.049
