Episode 194 | Loss: 0.399 | Policy: 0.337 | Value: 0.179 | Reward: 4909.05
Episode 195 | Loss: 0.189 | Policy: 0.187 | Value: 0.057 | Reward: 4909.38
Episode 196 | Loss: -0.086 | Policy: -0.067 | Value: 0.017 | Reward: 4909.13
Episode 197 | Loss: -0.112 | Policy: -0.116 | Value: 0.062 | Reward: 4908.95
Episode 198 | Loss: -0.088 | Policy: -0.076 | Value: 0.031 | Reward: 4909.08
Episode 199 | Loss: 0.047 | Policy: 0.071 | Value: 0.008 | Reward: 4909.20
Episode 200 | Loss: 0.087 | Policy: 0.106 | Value: 0.017 | Reward: 4909.10
Episode 201 | Loss: -0.025 | Policy: 0.002 | Value: 0.002 | Reward: 4909.05
Episode 202 | Loss: -0.010 | Policy: 0.017 | Value: 0.001 | Reward: 4909.13
Episode 203 | Loss: -0.091 | Policy: -0.072 | Value: 0.017 | Reward: 4908.98
Episode 204 | Loss: -0.072 | Policy: -0.048 | Value: 0.008 | Reward: 4909.08
Episode 205 | Loss: 0.107 | Policy: 0.122 | Value: 0.026 | Reward: 4909.13
Episode 206 | Loss: 0.122 | Policy: 0.135 | Value: 0.030 | Reward: 4909.00
Episode 207 | Loss: -0.032 | Policy: -0.005 | Value: 0.001 | Reward: 4909.25
Episode 208 | Loss: -0.060 | Policy: -0.040 | Value: 0.014 | Reward: 4909.33
Episode 209 | Loss: -0.016 | Policy: 0.009 | Value: 0.005 | Reward: 4908.98
Episode 210 | Loss: 0.161 | Policy: 0.167 | Value: 0.041 | Reward: 4908.90
Episode 211 | Loss: 0.191 | Policy: 0.191 | Value: 0.051 | Reward: 4909.18
Episode 212 | Loss: 0.030 | Policy: 0.052 | Value: 0.004 | Reward: 4908.98
Episode 213 | Loss: -0.085 | Policy: -0.095 | Value: 0.069 | Reward: 4909.00
Episode 214 | Loss: -0.084 | Policy: -0.131 | Value: 0.139 | Reward: 4908.83
Episode 215 | Loss: -0.092 | Policy: -0.113 | Value: 0.087 | Reward: 4909.10
Episode 216 | Loss: -0.047 | Policy: -0.027 | Value: 0.005 | Reward: 4909.03
Episode 217 | Loss: 0.297 | Policy: 0.266 | Value: 0.108 | Reward: 4904.16
