Episode 167 | Loss: 0.341 | Policy: 0.294 | Value: 0.128 | Reward: 150.32
Episode 168 | Loss: 0.165 | Policy: 0.161 | Value: 0.042 | Reward: 155.88
Episode 169 | Loss: -0.057 | Policy: -0.061 | Value: 0.042 | Reward: 151.57
Episode 170 | Loss: -0.052 | Policy: -0.085 | Value: 0.100 | Reward: 104.38
Episode 171 | Loss: -0.038 | Policy: -0.033 | Value: 0.024 | Reward: 151.07
Episode 172 | Loss: 0.200 | Policy: 0.190 | Value: 0.055 | Reward: 150.32
Episode 173 | Loss: 0.311 | Policy: 0.271 | Value: 0.114 | Reward: 155.13
Episode 174 | Loss: 0.139 | Policy: 0.141 | Value: 0.031 | Reward: 151.44
Episode 175 | Loss: 0.009 | Policy: -0.150 | Value: 0.354 | Reward: -94.06
Episode 176 | Loss: -0.028 | Policy: -0.134 | Value: 0.248 | Reward: -97.18
Episode 177 | Loss: -0.057 | Policy: -0.052 | Value: 0.026 | Reward: 150.07
Episode 178 | Loss: 0.196 | Policy: 0.187 | Value: 0.054 | Reward: 151.07
Episode 179 | Loss: 0.309 | Policy: 0.271 | Value: 0.111 | Reward: 99.94
Episode 180 | Loss: 0.036 | Policy: 0.047 | Value: 0.014 | Reward: -97.31
Episode 181 | Loss: -0.067 | Policy: -0.061 | Value: 0.021 | Reward: 156.13
Episode 182 | Loss: -0.089 | Policy: -0.094 | Value: 0.046 | Reward: 99.57
Episode 183 | Loss: 0.041 | Policy: 0.040 | Value: 0.038 | Reward: 155.51
Episode 184 | Loss: 0.067 | Policy: 0.071 | Value: 0.028 | Reward: 104.51
Episode 185 | Loss: -0.019 | Policy: -0.011 | Value: 0.019 | Reward: 155.38
Episode 186 | Loss: 0.048 | Policy: 0.056 | Value: 0.021 | Reward: 156.00
Episode 187 | Loss: 0.005 | Policy: 0.018 | Value: 0.013 | Reward: 154.51
Episode 188 | Loss: 0.093 | Policy: 0.101 | Value: 0.021 | Reward: 155.63
Episode 189 | Loss: 0.024 | Policy: 0.032 | Value: 0.019 | Reward: 155.63
Episode 190 | Loss: -0.062 | Policy: -0.080 | Value: 0.070 | Reward: 155.63
Episode 191 | Loss: -0.028 | Policy: -0.038 | Value: 0.053 | Reward: 156.75
Episode 192 | Loss: 0.046 | Policy: 0.058 | Value: 0.007 | Reward: 99.94
Episode 193 | Loss: 0.022 | Policy: 0.022 | Value: 0.033 | Reward: -97.06
Episode 194 | Loss: 0.302 | Policy: 0.265 | Value: 0.104 | Reward: 151.44
Episode 195 | Loss: 0.278 | Policy: 0.247 | Value: 0.090 | Reward: 151.19
Episode 196 | Loss: 0.023 | Policy: 0.034 | Value: 0.004 | Reward: 99.57
Episode 197 | Loss: -0.011 | Policy: -0.089 | Value: 0.180 | Reward: 155.25
Episode 198 | Loss: 0.053 | Policy: -0.119 | Value: 0.368 | Reward: 155.63
Episode 199 | Loss: -0.020 | Policy: -0.144 | Value: 0.273 | Reward: 150.32
Episode 200 | Loss: -0.037 | Policy: -0.049 | Value: 0.049 | Reward: 150.69
Episode 201 | Loss: 0.267 | Policy: 0.237 | Value: 0.087 | Reward: 151.32
Episode 202 | Loss: 0.546 | Policy: 0.426 | Value: 0.267 | Reward: 150.44
Episode 203 | Loss: 0.490 | Policy: 0.389 | Value: 0.231 | Reward: 150.44
Episode 204 | Loss: 0.184 | Policy: 0.174 | Value: 0.048 | Reward: 150.69
Episode 205 | Loss: -0.054 | Policy: -0.073 | Value: 0.066 | Reward: 151.69
Episode 206 | Loss: -0.050 | Policy: -0.132 | Value: 0.195 | Reward: 150.69
Episode 207 | Loss: -0.031 | Policy: -0.086 | Value: 0.142 | Reward: 150.69
Episode 208 | Loss: -0.035 | Policy: -0.024 | Value: 0.009 | Reward: 99.94
Episode 209 | Loss: 0.395 | Policy: 0.330 | Value: 0.164 | Reward: 99.69
Episode 210 | Loss: 0.672 | Policy: 0.501 | Value: 0.376 | Reward: 150.69
Episode 211 | Loss: 0.612 | Policy: 0.466 | Value: 0.325 | Reward: 155.50
Episode 212 | Loss: 0.280 | Policy: 0.250 | Value: 0.091 | Reward: 152.06
Episode 213 | Loss: -0.038 | Policy: -0.042 | Value: 0.039 | Reward: 155.75
Episode 214 | Loss: -0.034 | Policy: -0.086 | Value: 0.137 | Reward: 150.44
Episode 215 | Loss: -0.041 | Policy: -0.077 | Value: 0.102 | Reward: 150.82
Episode 216 | Loss: -0.022 | Policy: -0.008 | Value: 0.004 | Reward: 151.19
Episode 217 | Loss: 0.410 | Policy: 0.340 | Value: 0.174 | Reward: 150.19
Episode 218 | Loss: 0.663 | Policy: 0.495 | Value: 0.371 | Reward: 156.75
Episode 219 | Loss: 0.583 | Policy: 0.448 | Value: 0.305 | Reward: 156.50
Episode 220 | Loss: 0.243 | Policy: 0.223 | Value: 0.077 | Reward: 150.44
Episode 221 | Loss: -0.053 | Policy: -0.054 | Value: 0.038 | Reward: 150.44
Episode 222 | Loss: -0.067 | Policy: -0.124 | Value: 0.151 | Reward: 150.57
Episode 223 | Loss: -0.060 | Policy: -0.099 | Value: 0.116 | Reward: 150.44
Episode 224 | Loss: -0.055 | Policy: -0.039 | Value: 0.006 | Reward: 150.19
Episode 225 | Loss: 0.374 | Policy: 0.317 | Value: 0.153 | Reward: 150.19
Episode 226 | Loss: 0.629 | Policy: 0.479 | Value: 0.340 | Reward: 150.19
Episode 227 | Loss: 0.570 | Policy: 0.442 | Value: 0.295 | Reward: 156.00
Episode 228 | Loss: 0.256 | Policy: 0.234 | Value: 0.084 | Reward: 156.13
Episode 229 | Loss: -0.052 | Policy: -0.047 | Value: 0.031 | Reward: 151.44
Episode 230 | Loss: -0.048 | Policy: -0.092 | Value: 0.128 | Reward: 150.69
Episode 231 | Loss: -0.045 | Policy: -0.071 | Value: 0.092 | Reward: 99.82
Episode 232 | Loss: -0.008 | Policy: 0.008 | Value: 0.008 | Reward: 154.76
Episode 233 | Loss: 0.406 | Policy: 0.337 | Value: 0.179 | Reward: 155.01
Episode 234 | Loss: 0.640 | Policy: 0.481 | Value: 0.362 | Reward: 155.88
Episode 235 | Loss: 0.562 | Policy: 0.434 | Value: 0.299 | Reward: 156.00
Episode 236 | Loss: 0.237 | Policy: 0.219 | Value: 0.078 | Reward: 155.13
Episode 237 | Loss: -0.068 | Policy: -0.069 | Value: 0.042 | Reward: 154.63
Episode 238 | Loss: -0.100 | Policy: -0.155 | Value: 0.150 | Reward: 157.25
Episode 239 | Loss: -0.086 | Policy: -0.123 | Value: 0.113 | Reward: 155.88
Episode 240 | Loss: -0.038 | Policy: -0.022 | Value: 0.010 | Reward: 156.25
