C:\Users\thari\anaconda3\Lib\site-packages\torch\nn\modules\loss.py:610: UserWarning: Using a target size (torch.Size([4])) that is different to the input size (torch.Size([1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Episode 164 | Loss: 0.444 | Policy: 0.068 | Value: 0.752 | Reward: -475.61
Episode 165 | Loss: 0.355 | Policy: 0.017 | Value: 0.675 | Reward: -483.11
Episode 166 | Loss: 0.279 | Policy: -0.055 | Value: 0.667 | Reward: -483.11
Episode 167 | Loss: 0.374 | Policy: -0.003 | Value: 0.754 | Reward: -475.61
Episode 168 | Loss: 0.408 | Policy: 0.033 | Value: 0.750 | Reward: -475.61
Episode 169 | Loss: 0.457 | Policy: 0.080 | Value: 0.753 | Reward: -475.61
Episode 170 | Loss: 0.430 | Policy: 0.054 | Value: 0.751 | Reward: -478.10
Episode 171 | Loss: 0.376 | Policy: -0.001 | Value: 0.754 | Reward: -475.61
Episode 172 | Loss: 0.147 | Policy: -0.104 | Value: 0.501 | Reward: -493.11
Episode 173 | Loss: 0.446 | Policy: 0.070 | Value: 0.752 | Reward: -473.11
Episode 174 | Loss: 0.439 | Policy: 0.063 | Value: 0.752 | Reward: -475.61
Episode 175 | Loss: 0.262 | Policy: -0.072 | Value: 0.668 | Reward: -485.61
Episode 176 | Loss: 0.387 | Policy: 0.012 | Value: 0.752 | Reward: -475.61
Episode 177 | Loss: 0.355 | Policy: 0.017 | Value: 0.675 | Reward: -483.11
Episode 178 | Loss: 0.347 | Policy: 0.082 | Value: 0.529 | Reward: -493.11
Episode 179 | Loss: 0.270 | Policy: -0.064 | Value: 0.667 | Reward: -483.11
Episode 180 | Loss: 0.269 | Policy: -0.065 | Value: 0.668 | Reward: -483.11
Episode 181 | Loss: 0.342 | Policy: 0.005 | Value: 0.673 | Reward: -483.11
Episode 182 | Loss: 0.327 | Policy: -0.009 | Value: 0.671 | Reward: -483.11
Episode 183 | Loss: 0.379 | Policy: 0.002 | Value: 0.754 | Reward: -473.11
Episode 184 | Loss: 0.248 | Policy: -0.088 | Value: 0.671 | Reward: -483.11
Episode 185 | Loss: 0.424 | Policy: 0.049 | Value: 0.750 | Reward: -475.61
Episode 186 | Loss: 0.360 | Policy: 0.094 | Value: 0.533 | Reward: -493.11
Episode 187 | Loss: 0.258 | Policy: 0.004 | Value: 0.507 | Reward: -493.11
Episode 188 | Loss: 0.212 | Policy: -0.132 | Value: 0.687 | Reward: -483.11
Episode 189 | Loss: 0.322 | Policy: -0.065 | Value: 0.774 | Reward: -478.10
Episode 190 | Loss: 0.228 | Policy: -0.111 | Value: 0.678 | Reward: -483.11
Episode 191 | Loss: 0.440 | Policy: 0.064 | Value: 0.752 | Reward: -478.10
Episode 192 | Loss: 0.474 | Policy: 0.096 | Value: 0.756 | Reward: -473.11
Episode 193 | Loss: 0.430 | Policy: 0.055 | Value: 0.751 | Reward: -475.61
Episode 194 | Loss: 0.106 | Policy: -0.148 | Value: 0.507 | Reward: -493.11
Episode 195 | Loss: 0.237 | Policy: -0.100 | Value: 0.675 | Reward: -483.11
Episode 196 | Loss: 0.408 | Policy: 0.033 | Value: 0.750 | Reward: -480.60
Episode 197 | Loss: 0.465 | Policy: 0.087 | Value: 0.756 | Reward: -478.10
C:\Users\thari\anaconda3\Lib\site-packages\torch\nn\modules\loss.py:610: UserWarning: Using a target size (torch.Size([5])) that is different to the input size (torch.Size([1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Episode 198 | Loss: 0.494 | Policy: 0.094 | Value: 0.801 | Reward: -465.61
Episode 199 | Loss: 0.404 | Policy: 0.029 | Value: 0.750 | Reward: -478.10

=== FINAL EVALUATION ===
Total destinations visited: 4
Total time (all trucks): 39.96 hours
Saved to checkpoints/ppo_final_solution.png
