Episode 184 | Loss: 0.808 | Policy: 0.579 | Value: 0.458 | Reward: -60.03
Episode 185 | Loss: 0.164 | Policy: 0.145 | Value: 0.039 | Reward: -40.03
Episode 186 | Loss: 0.507 | Policy: 0.398 | Value: 0.219 | Reward: -60.03
Episode 187 | Loss: 0.056 | Policy: 0.052 | Value: 0.007 | Reward: -60.03
Episode 188 | Loss: -0.065 | Policy: -0.189 | Value: 0.250 | Reward: -60.03
Episode 189 | Loss: 0.588 | Policy: -0.257 | Value: 1.689 | Reward: -40.03
Episode 190 | Loss: 0.343 | Policy: -0.292 | Value: 1.270 | Reward: -50.03
Episode 191 | Loss: -0.011 | Policy: -0.250 | Value: 0.478 | Reward: -60.03
Episode 192 | Loss: 0.035 | Policy: -0.164 | Value: 0.398 | Reward: -50.03
Episode 193 | Loss: 0.159 | Policy: 0.144 | Value: 0.030 | Reward: -60.03
Episode 194 | Loss: 0.131 | Policy: 0.119 | Value: 0.024 | Reward: -50.03
Episode 195 | Loss: 0.490 | Policy: 0.388 | Value: 0.203 | Reward: -60.03
Episode 196 | Loss: 0.012 | Policy: 0.010 | Value: 0.004 | Reward: -50.03
Episode 197 | Loss: 0.292 | Policy: 0.250 | Value: 0.085 | Reward: -60.03
Episode 198 | Loss: 0.096 | Policy: 0.090 | Value: 0.012 | Reward: -60.03
Episode 199 | Loss: 0.170 | Policy: -0.145 | Value: 0.630 | Reward: -40.04
Episode 200 | Loss: 0.251 | Policy: -0.173 | Value: 0.850 | Reward: -40.03
Episode 201 | Loss: 0.190 | Policy: -0.159 | Value: 0.699 | Reward: -40.04
Episode 202 | Loss: -0.033 | Policy: -0.034 | Value: 0.004 | Reward: -60.03
Episode 203 | Loss: 0.423 | Policy: 0.343 | Value: 0.160 | Reward: -60.03
Episode 204 | Loss: 0.694 | Policy: 0.515 | Value: 0.358 | Reward: -60.03
Episode 205 | Loss: 0.659 | Policy: 0.494 | Value: 0.330 | Reward: -60.03
Episode 206 | Loss: -0.003 | Policy: -0.019 | Value: 0.031 | Reward: -40.04
Episode 207 | Loss: 0.361 | Policy: 0.298 | Value: 0.125 | Reward: -60.03
Episode 208 | Loss: 0.138 | Policy: 0.124 | Value: 0.027 | Reward: -60.03
Episode 209 | Loss: -0.082 | Policy: -0.111 | Value: 0.057 | Reward: -60.03
Episode 210 | Loss: 0.167 | Policy: -0.180 | Value: 0.694 | Reward: -40.04
Episode 211 | Loss: -0.088 | Policy: -0.133 | Value: 0.090 | Reward: -60.03
Episode 212 | Loss: 0.016 | Policy: -0.111 | Value: 0.253 | Reward: -40.03
Episode 213 | Loss: 0.430 | Policy: 0.346 | Value: 0.168 | Reward: -60.03
Episode 214 | Loss: 0.691 | Policy: 0.511 | Value: 0.359 | Reward: -60.03
Episode 215 | Loss: 0.654 | Policy: 0.489 | Value: 0.330 | Reward: -60.03
Episode 216 | Loss: 0.364 | Policy: 0.299 | Value: 0.129 | Reward: -60.03
Episode 217 | Loss: -0.033 | Policy: -0.037 | Value: 0.008 | Reward: -60.03
Episode 218 | Loss: -0.029 | Policy: -0.136 | Value: 0.214 | Reward: -50.03
Episode 219 | Loss: -0.055 | Policy: -0.066 | Value: 0.023 | Reward: -60.03
Episode 220 | Loss: 0.087 | Policy: -0.075 | Value: 0.325 | Reward: -30.03
Episode 221 | Loss: 0.240 | Policy: 0.207 | Value: 0.066 | Reward: -50.03
Episode 222 | Loss: 0.849 | Policy: 0.606 | Value: 0.486 | Reward: -60.03
Episode 223 | Loss: 0.395 | Policy: 0.321 | Value: 0.148 | Reward: -50.03
Episode 224 | Loss: 0.465 | Policy: 0.373 | Value: 0.185 | Reward: -60.03
Episode 225 | Loss: 0.043 | Policy: -0.076 | Value: 0.238 | Reward: -40.03
Episode 226 | Loss: -0.032 | Policy: -0.044 | Value: 0.023 | Reward: -60.03
Episode 227 | Loss: -0.013 | Policy: -0.089 | Value: 0.151 | Reward: -50.03
Episode 228 | Loss: 0.015 | Policy: -0.058 | Value: 0.147 | Reward: -40.04
Episode 229 | Loss: 0.097 | Policy: 0.082 | Value: 0.031 | Reward: -40.03
Episode 230 | Loss: 0.853 | Policy: 0.608 | Value: 0.490 | Reward: -60.03
Episode 231 | Loss: 0.800 | Policy: 0.578 | Value: 0.444 | Reward: -60.03
Episode 232 | Loss: 0.049 | Policy: 0.037 | Value: 0.024 | Reward: -40.04
Episode 233 | Loss: 0.462 | Policy: 0.370 | Value: 0.184 | Reward: -60.03
Episode 234 | Loss: -0.001 | Policy: -0.005 | Value: 0.008 | Reward: -50.03
Episode 235 | Loss: -0.006 | Policy: -0.048 | Value: 0.084 | Reward: -40.04
Episode 236 | Loss: 0.454 | Policy: 0.364 | Value: 0.181 | Reward: -60.03
Episode 237 | Loss: 0.430 | Policy: 0.347 | Value: 0.166 | Reward: -60.03
Episode 238 | Loss: 0.187 | Policy: 0.166 | Value: 0.043 | Reward: -60.03
Episode 239 | Loss: -0.076 | Policy: -0.095 | Value: 0.037 | Reward: -60.03
Episode 240 | Loss: 0.349 | Policy: -0.163 | Value: 1.024 | Reward: -30.04
Episode 241 | Loss: -0.092 | Policy: -0.131 | Value: 0.079 | Reward: -60.03
Episode 242 | Loss: 0.025 | Policy: -0.117 | Value: 0.284 | Reward: -40.03
Episode 243 | Loss: 0.081 | Policy: 0.073 | Value: 0.017 | Reward: -50.03
Episode 244 | Loss: 0.055 | Policy: 0.048 | Value: 0.012 | Reward: -40.03
Episode 245 | Loss: 0.555 | Policy: 0.427 | Value: 0.257 | Reward: -60.04
Episode 246 | Loss: -0.024 | Policy: -0.057 | Value: 0.065 | Reward: -40.04
Episode 247 | Loss: 0.293 | Policy: 0.248 | Value: 0.090 | Reward: -60.03
Episode 248 | Loss: 0.011 | Policy: -0.080 | Value: 0.183 | Reward: -40.03
Episode 249 | Loss: 0.125 | Policy: 0.114 | Value: 0.022 | Reward: -60.03
Episode 250 | Loss: -0.030 | Policy: -0.032 | Value: 0.005 | Reward: -60.03
Episode 251 | Loss: 0.008 | Policy: 0.007 | Value: 0.002 | Reward: -60.03
Episode 252 | Loss: -0.010 | Policy: -0.010 | Value: 0.002 | Reward: -60.03
Episode 253 | Loss: 0.121 | Policy: 0.112 | Value: 0.018 | Reward: -60.03
Episode 254 | Loss: 0.056 | Policy: 0.054 | Value: 0.005 | Reward: -60.03
Episode 255 | Loss: 0.179 | Policy: -0.124 | Value: 0.607 | Reward: -40.03
Episode 256 | Loss: -0.048 | Policy: -0.081 | Value: 0.066 | Reward: -60.03
Episode 257 | Loss: 0.093 | Policy: -0.100 | Value: 0.387 | Reward: -40.03
Episode 258 | Loss: 0.022 | Policy: 0.020 | Value: 0.004 | Reward: -50.03
Episode 259 | Loss: 0.413 | Policy: 0.335 | Value: 0.157 | Reward: -50.03
Episode 260 | Loss: 0.628 | Policy: 0.472 | Value: 0.311 | Reward: -50.03
Episode 261 | Loss: 1.005 | Policy: 0.688 | Value: 0.635 | Reward: -60.03
Episode 262 | Loss: 0.275 | Policy: 0.235 | Value: 0.081 | Reward: -50.03
Episode 263 | Loss: -0.009 | Policy: -0.073 | Value: 0.128 | Reward: -40.04
Episode 264 | Loss: -0.054 | Policy: -0.097 | Value: 0.086 | Reward: -50.04
Episode 265 | Loss: 0.008 | Policy: -0.105 | Value: 0.226 | Reward: -40.04
Episode 266 | Loss: -0.009 | Policy: -0.013 | Value: 0.008 | Reward: -50.03
Episode 267 | Loss: 0.311 | Policy: 0.262 | Value: 0.098 | Reward: -50.03
Episode 268 | Loss: 0.159 | Policy: 0.142 | Value: 0.036 | Reward: -40.04
Episode 269 | Loss: 0.336 | Policy: 0.281 | Value: 0.111 | Reward: -50.03
Episode 270 | Loss: 0.073 | Policy: 0.066 | Value: 0.013 | Reward: -50.03
Episode 271 | Loss: 0.013 | Policy: 0.010 | Value: 0.006 | Reward: -60.03
Episode 272 | Loss: -0.038 | Policy: -0.070 | Value: 0.063 | Reward: -60.03
Episode 273 | Loss: 0.443 | Policy: -0.129 | Value: 1.144 | Reward: -30.03
Episode 274 | Loss: 0.107 | Policy: -0.101 | Value: 0.416 | Reward: -40.03
Episode 275 | Loss: 0.004 | Policy: -0.038 | Value: 0.084 | Reward: -40.03
Episode 276 | Loss: 0.514 | Policy: 0.401 | Value: 0.226 | Reward: -50.03
Episode 277 | Loss: 0.543 | Policy: 0.418 | Value: 0.251 | Reward: -40.03
Episode 278 | Loss: 0.620 | Policy: 0.464 | Value: 0.312 | Reward: -40.04
Episode 279 | Loss: 0.770 | Policy: 0.551 | Value: 0.437 | Reward: -50.03
Episode 280 | Loss: 0.359 | Policy: 0.293 | Value: 0.133 | Reward: -50.03
Episode 281 | Loss: -0.048 | Policy: -0.056 | Value: 0.017 | Reward: -50.03
Episode 282 | Loss: 0.029 | Policy: -0.124 | Value: 0.307 | Reward: -40.04
Episode 283 | Loss: -0.056 | Policy: -0.116 | Value: 0.121 | Reward: -50.03
Episode 284 | Loss: 0.093 | Policy: -0.096 | Value: 0.379 | Reward: -30.03
Episode 285 | Loss: 0.126 | Policy: 0.113 | Value: 0.026 | Reward: -50.03
Episode 286 | Loss: -0.000 | Policy: -0.021 | Value: 0.041 | Reward: -30.04
Episode 287 | Loss: 0.295 | Policy: 0.247 | Value: 0.095 | Reward: -40.03
Episode 288 | Loss: 0.683 | Policy: 0.502 | Value: 0.362 | Reward: -50.03
Episode 289 | Loss: 0.957 | Policy: 0.658 | Value: 0.598 | Reward: -60.03
Episode 290 | Loss: 0.547 | Policy: 0.421 | Value: 0.252 | Reward: -60.03
Episode 291 | Loss: 0.062 | Policy: 0.056 | Value: 0.013 | Reward: -60.03
Episode 292 | Loss: 0.281 | Policy: -0.205 | Value: 0.972 | Reward: -40.04
Episode 293 | Loss: 0.279 | Policy: -0.294 | Value: 1.147 | Reward: -50.03
Episode 294 | Loss: 0.068 | Policy: -0.341 | Value: 0.819 | Reward: -60.03
Episode 295 | Loss: 0.610 | Policy: -0.275 | Value: 1.772 | Reward: -40.04
Episode 296 | Loss: 0.620 | Policy: -0.208 | Value: 1.656 | Reward: -30.04
Episode 297 | Loss: -0.080 | Policy: -0.106 | Value: 0.052 | Reward: -60.03
Episode 298 | Loss: -0.016 | Policy: -0.042 | Value: 0.051 | Reward: -40.04
Episode 299 | Loss: 1.203 | Policy: 0.786 | Value: 0.834 | Reward: -60.03
Episode 300 | Loss: 1.398 | Policy: 0.869 | Value: 1.058 | Reward: -50.03
Episode 301 | Loss: 1.747 | Policy: 1.020 | Value: 1.455 | Reward: -50.03
Episode 302 | Loss: 2.345 | Policy: 1.267 | Value: 2.156 | Reward: -60.03
Episode 303 | Loss: 1.957 | Policy: 1.117 | Value: 1.681 | Reward: -60.03
Episode 304 | Loss: 0.604 | Policy: 0.447 | Value: 0.315 | Reward: -40.03
Episode 305 | Loss: 0.292 | Policy: 0.241 | Value: 0.101 | Reward: -50.03
Episode 306 | Loss: -0.004 | Policy: -0.117 | Value: 0.227 | Reward: -40.03
Episode 307 | Loss: 0.285 | Policy: -0.174 | Value: 0.919 | Reward: -30.03
Episode 308 | Loss: -0.097 | Policy: -0.216 | Value: 0.238 | Reward: -60.04
Episode 309 | Loss: -0.102 | Policy: -0.203 | Value: 0.204 | Reward: -60.03
Episode 310 | Loss: -0.099 | Policy: -0.133 | Value: 0.070 | Reward: -60.03
