Episode 234 | Loss: 0.234 | Policy: 0.101 | Value: 0.266 | Reward: -1700.34
Episode 235 | Loss: 0.341 | Policy: -0.081 | Value: 0.845 | Reward: -1760.34
Episode 236 | Loss: 0.360 | Policy: -0.111 | Value: 0.943 | Reward: -1760.34
Episode 237 | Loss: 0.299 | Policy: -0.029 | Value: 0.657 | Reward: -1760.34
Episode 238 | Loss: 0.329 | Policy: 0.164 | Value: 0.330 | Reward: -1760.26
Episode 239 | Loss: 1.025 | Policy: 0.651 | Value: 0.750 | Reward: -1700.26
Episode 240 | Loss: 1.485 | Policy: 0.882 | Value: 1.207 | Reward: -1700.39
Episode 241 | Loss: 1.089 | Policy: 0.687 | Value: 0.806 | Reward: -1760.34
Episode 242 | Loss: 0.661 | Policy: 0.463 | Value: 0.399 | Reward: -1760.34
Episode 243 | Loss: 0.332 | Policy: 0.262 | Value: 0.141 | Reward: -1700.39
Episode 244 | Loss: 0.162 | Policy: -0.129 | Value: 0.584 | Reward: -1760.34
Episode 245 | Loss: 0.119 | Policy: -0.154 | Value: 0.548 | Reward: -1700.39
Episode 246 | Loss: 0.125 | Policy: -0.175 | Value: 0.604 | Reward: -1700.39
Episode 247 | Loss: 0.026 | Policy: -0.139 | Value: 0.333 | Reward: -1700.34
Episode 248 | Loss: 0.002 | Policy: -0.017 | Value: 0.042 | Reward: -1700.39
Episode 249 | Loss: 0.559 | Policy: 0.424 | Value: 0.276 | Reward: -1700.31
Episode 250 | Loss: 0.532 | Policy: 0.402 | Value: 0.268 | Reward: -1760.34
Episode 251 | Loss: 0.561 | Policy: 0.423 | Value: 0.285 | Reward: -1760.34
Episode 252 | Loss: 0.765 | Policy: 0.548 | Value: 0.448 | Reward: -1700.39
Episode 253 | Loss: -0.001 | Policy: -0.032 | Value: 0.077 | Reward: -1760.34
Episode 254 | Loss: 0.068 | Policy: 0.060 | Value: 0.031 | Reward: -1700.39
Episode 255 | Loss: -0.148 | Policy: -0.195 | Value: 0.109 | Reward: -1700.26
Episode 256 | Loss: -0.136 | Policy: -0.223 | Value: 0.191 | Reward: -1700.29
Episode 257 | Loss: -0.107 | Policy: -0.354 | Value: 0.513 | Reward: -1760.34
Episode 258 | Loss: 0.084 | Policy: 0.073 | Value: 0.038 | Reward: -1700.39
Episode 259 | Loss: 0.186 | Policy: 0.159 | Value: 0.066 | Reward: -1700.39
Episode 260 | Loss: 0.041 | Policy: 0.034 | Value: 0.025 | Reward: -1700.39
Episode 261 | Loss: -0.080 | Policy: -0.130 | Value: 0.110 | Reward: -1700.39
Episode 262 | Loss: -0.064 | Policy: -0.141 | Value: 0.159 | Reward: -1700.31
Episode 263 | Loss: -0.059 | Policy: -0.085 | Value: 0.057 | Reward: -1700.39
Episode 264 | Loss: 0.034 | Policy: -0.014 | Value: 0.100 | Reward: -1760.39
Episode 265 | Loss: 0.464 | Policy: 0.355 | Value: 0.222 | Reward: -1760.39
Episode 266 | Loss: 1.466 | Policy: 0.897 | Value: 1.140 | Reward: -1700.31
Episode 267 | Loss: 0.963 | Policy: 0.680 | Value: 0.568 | Reward: -1760.29
Episode 268 | Loss: 0.629 | Policy: 0.461 | Value: 0.337 | Reward: -1760.26
Episode 269 | Loss: 0.220 | Policy: 0.179 | Value: 0.083 | Reward: -1760.39
Episode 270 | Loss: 0.046 | Policy: -0.106 | Value: 0.306 | Reward: -1760.29
Episode 271 | Loss: 0.136 | Policy: -0.211 | Value: 0.694 | Reward: -1760.26
Episode 272 | Loss: 0.150 | Policy: -0.226 | Value: 0.752 | Reward: -1760.39
Episode 273 | Loss: 0.064 | Policy: -0.162 | Value: 0.453 | Reward: -1760.26
Episode 274 | Loss: 0.023 | Policy: -0.027 | Value: 0.099 | Reward: -1760.39
Episode 275 | Loss: 0.989 | Policy: 0.667 | Value: 0.644 | Reward: -1700.39
Episode 276 | Loss: 0.891 | Policy: 0.618 | Value: 0.545 | Reward: -1760.39
Episode 277 | Loss: 0.961 | Policy: 0.657 | Value: 0.609 | Reward: -1760.39
Episode 278 | Loss: 1.287 | Policy: 0.812 | Value: 0.950 | Reward: -1700.41
Episode 279 | Loss: 0.209 | Policy: 0.176 | Value: 0.067 | Reward: -1760.26
Episode 280 | Loss: -0.012 | Policy: -0.021 | Value: 0.017 | Reward: -1700.39
Episode 281 | Loss: 0.084 | Policy: -0.216 | Value: 0.601 | Reward: -1760.39
Episode 282 | Loss: 0.106 | Policy: -0.228 | Value: 0.669 | Reward: -1760.29
Episode 283 | Loss: 0.040 | Policy: -0.163 | Value: 0.406 | Reward: -1760.26
Episode 284 | Loss: 0.014 | Policy: -0.030 | Value: 0.089 | Reward: -1760.39
Episode 285 | Loss: 0.428 | Policy: 0.334 | Value: 0.188 | Reward: -1760.26
Episode 286 | Loss: 0.829 | Policy: 0.585 | Value: 0.489 | Reward: -1760.31
Episode 287 | Loss: 0.882 | Policy: 0.615 | Value: 0.535 | Reward: -1760.26
Episode 288 | Loss: 0.598 | Policy: 0.447 | Value: 0.301 | Reward: -1760.26
Episode 289 | Loss: 0.175 | Policy: 0.148 | Value: 0.054 | Reward: -1760.39
Episode 290 | Loss: -0.000 | Policy: -0.129 | Value: 0.258 | Reward: -1760.26
Episode 291 | Loss: 0.080 | Policy: -0.231 | Value: 0.622 | Reward: -1760.39
Episode 292 | Loss: 0.095 | Policy: -0.248 | Value: 0.687 | Reward: -1760.26
Episode 293 | Loss: -0.083 | Policy: -0.112 | Value: 0.059 | Reward: -1700.26
Episode 294 | Loss: -0.025 | Policy: -0.069 | Value: 0.087 | Reward: -1760.26
Episode 295 | Loss: 0.347 | Policy: 0.281 | Value: 0.132 | Reward: -1760.39
Episode 296 | Loss: 0.724 | Policy: 0.527 | Value: 0.395 | Reward: -1760.39
Episode 297 | Loss: 0.776 | Policy: 0.557 | Value: 0.438 | Reward: -1760.39
Episode 298 | Loss: 0.510 | Policy: 0.395 | Value: 0.231 | Reward: -1760.26
Episode 299 | Loss: 0.106 | Policy: 0.092 | Value: 0.028 | Reward: -1760.26
Episode 300 | Loss: -0.027 | Policy: -0.162 | Value: 0.270 | Reward: -1760.31
Episode 301 | Loss: 0.064 | Policy: -0.258 | Value: 0.644 | Reward: -1760.26
Episode 302 | Loss: 0.083 | Policy: -0.273 | Value: 0.712 | Reward: -1760.26
Episode 303 | Loss: 0.005 | Policy: -0.217 | Value: 0.445 | Reward: -1760.26
