Episode 268 | Loss: 0.099 | Policy: 0.116 | Value: 0.020 | Reward: 6009.15
Episode 269 | Loss: -0.103 | Policy: -0.103 | Value: 0.053 | Reward: 6009.28
Episode 270 | Loss: -0.114 | Policy: -0.157 | Value: 0.139 | Reward: 6009.15
Episode 271 | Loss: -0.141 | Policy: -0.166 | Value: 0.102 | Reward: 6009.23
Episode 272 | Loss: -0.077 | Policy: -0.057 | Value: 0.012 | Reward: 6009.00
Episode 273 | Loss: 0.244 | Policy: 0.229 | Value: 0.081 | Reward: 6009.13
Episode 274 | Loss: 0.432 | Policy: 0.360 | Value: 0.196 | Reward: 6009.03
Episode 275 | Loss: 0.387 | Policy: 0.330 | Value: 0.165 | Reward: 6004.06
Episode 276 | Loss: 0.151 | Policy: 0.158 | Value: 0.038 | Reward: 6009.10
Episode 277 | Loss: -0.099 | Policy: -0.089 | Value: 0.032 | Reward: 6009.18
Episode 278 | Loss: -0.116 | Policy: -0.145 | Value: 0.110 | Reward: 6009.08
Episode 279 | Loss: -0.119 | Policy: -0.137 | Value: 0.088 | Reward: 6009.20
Episode 280 | Loss: -0.055 | Policy: -0.033 | Value: 0.008 | Reward: 6009.25
Episode 281 | Loss: 0.248 | Policy: 0.234 | Value: 0.080 | Reward: 6004.19
Episode 282 | Loss: 0.423 | Policy: 0.355 | Value: 0.187 | Reward: 6009.13
Episode 283 | Loss: 0.372 | Policy: 0.321 | Value: 0.153 | Reward: 6009.25
Episode 284 | Loss: 0.137 | Policy: 0.147 | Value: 0.033 | Reward: 6009.15
Episode 285 | Loss: -0.098 | Policy: -0.090 | Value: 0.035 | Reward: 6009.15
Episode 286 | Loss: -0.137 | Policy: -0.169 | Value: 0.116 | Reward: 6008.95
Episode 287 | Loss: -0.125 | Policy: -0.146 | Value: 0.095 | Reward: 6009.05
Episode 288 | Loss: -0.070 | Policy: -0.049 | Value: 0.011 | Reward: 6009.18
Episode 289 | Loss: 0.209 | Policy: 0.205 | Value: 0.062 | Reward: 6009.13
Episode 290 | Loss: 0.371 | Policy: 0.321 | Value: 0.152 | Reward: 6009.35
Episode 291 | Loss: 0.327 | Policy: 0.293 | Value: 0.121 | Reward: 6004.16
Episode 292 | Loss: 0.095 | Policy: 0.112 | Value: 0.019 | Reward: 6009.10
Episode 293 | Loss: -0.098 | Policy: -0.097 | Value: 0.051 | Reward: 6009.35
Episode 294 | Loss: -0.102 | Policy: -0.146 | Value: 0.141 | Reward: 6009.13
Episode 295 | Loss: -0.112 | Policy: -0.143 | Value: 0.116 | Reward: 6009.15
Episode 296 | Loss: -0.073 | Policy: -0.056 | Value: 0.020 | Reward: 6008.95
Episode 297 | Loss: 0.162 | Policy: 0.167 | Value: 0.042 | Reward: 6008.88
Episode 298 | Loss: 0.319 | Policy: 0.286 | Value: 0.120 | Reward: 6009.15
Episode 299 | Loss: 0.267 | Policy: 0.247 | Value: 0.093 | Reward: 6009.05
Episode 300 | Loss: 0.058 | Policy: 0.079 | Value: 0.011 | Reward: 6009.18
Episode 301 | Loss: -0.113 | Policy: -0.118 | Value: 0.064 | Reward: 6009.18
Episode 302 | Loss: -0.121 | Policy: -0.174 | Value: 0.160 | Reward: 6009.40
Episode 303 | Loss: -0.120 | Policy: -0.159 | Value: 0.133 | Reward: 6009.10
