H:\AI Course\GNN_VRP\training\trainer.py:24: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  state_t = torch.tensor(state, dtype=torch.float32).unsqueeze(0).to(self.device)
Episode 153 | Loss: 35.202 | Policy: 4.407 | Value: 61.593 | Entropy: 0.169
Episode 154 | Loss: 11.493 | Policy: 1.757 | Value: 19.476 | Entropy: 0.176
Episode 155 | Loss: 30.125 | Policy: 3.428 | Value: 53.398 | Entropy: 0.186
Episode 156 | Loss: 32.149 | Policy: 3.449 | Value: 57.404 | Entropy: 0.197
Episode 157 | Loss: 39.479 | Policy: 4.641 | Value: 69.681 | Entropy: 0.208
Episode 158 | Loss: 31.945 | Policy: 0.842 | Value: 62.210 | Entropy: 0.217
Episode 159 | Loss: 41.254 | Policy: 0.197 | Value: 82.117 | Entropy: 0.221
Episode 160 | Loss: 23.292 | Policy: 0.341 | Value: 45.907 | Entropy: 0.223
Episode 161 | Loss: 16.859 | Policy: 1.335 | Value: 31.053 | Entropy: 0.228
Episode 162 | Loss: 21.006 | Policy: 1.533 | Value: 38.950 | Entropy: 0.239
Episode 163 | Loss: 39.308 | Policy: 4.554 | Value: 69.512 | Entropy: 0.254
Episode 164 | Loss: 57.308 | Policy: 6.344 | Value: 101.934 | Entropy: 0.269
Episode 165 | Loss: 24.475 | Policy: 1.137 | Value: 46.682 | Entropy: 0.268
Episode 166 | Loss: 23.349 | Policy: 2.097 | Value: 42.509 | Entropy: 0.279
Episode 167 | Loss: 38.084 | Policy: 4.073 | Value: 68.029 | Entropy: 0.325
Episode 168 | Loss: 28.642 | Policy: 2.690 | Value: 51.911 | Entropy: 0.361
Episode 169 | Loss: 46.496 | Policy: 0.286 | Value: 92.427 | Entropy: 0.369
Episode 170 | Loss: 29.672 | Policy: 0.976 | Value: 57.399 | Entropy: 0.374
Episode 171 | Loss: 30.037 | Policy: 1.198 | Value: 57.686 | Entropy: 0.400
Episode 172 | Loss: 30.867 | Policy: 2.932 | Value: 55.879 | Entropy: 0.420
Episode 173 | Loss: 18.620 | Policy: 0.967 | Value: 35.315 | Entropy: 0.407
Episode 174 | Loss: 20.899 | Policy: 1.548 | Value: 38.710 | Entropy: 0.405
Episode 175 | Loss: 49.284 | Policy: 6.017 | Value: 86.543 | Entropy: 0.415
Episode 176 | Loss: 16.620 | Policy: 1.381 | Value: 30.484 | Entropy: 0.412
Episode 177 | Loss: 22.939 | Policy: 1.599 | Value: 42.688 | Entropy: 0.404
Episode 178 | Loss: 24.245 | Policy: 1.032 | Value: 46.433 | Entropy: 0.401
Episode 179 | Loss: 19.024 | Policy: 1.446 | Value: 35.165 | Entropy: 0.402
Episode 180 | Loss: 31.042 | Policy: 0.452 | Value: 61.189 | Entropy: 0.404
Episode 181 | Loss: 11.732 | Policy: 2.026 | Value: 19.421 | Entropy: 0.405
Episode 182 | Loss: 28.666 | Policy: 3.091 | Value: 51.159 | Entropy: 0.404
Episode 183 | Loss: 32.278 | Policy: 0.817 | Value: 62.929 | Entropy: 0.407
Episode 184 | Loss: 17.240 | Policy: 0.960 | Value: 32.570 | Entropy: 0.413
Episode 185 | Loss: 23.131 | Policy: 1.323 | Value: 43.625 | Entropy: 0.416
Episode 186 | Loss: 38.857 | Policy: 4.843 | Value: 68.035 | Entropy: 0.419
Episode 187 | Loss: 33.873 | Policy: 3.997 | Value: 59.762 | Entropy: 0.425
Episode 188 | Loss: 26.960 | Policy: 3.988 | Value: 45.953 | Entropy: 0.429
Episode 189 | Loss: 26.402 | Policy: 0.632 | Value: 51.550 | Entropy: 0.428
Episode 190 | Loss: 18.768 | Policy: 1.282 | Value: 34.981 | Entropy: 0.435
Episode 191 | Loss: 27.367 | Policy: 0.612 | Value: 53.517 | Entropy: 0.447
Episode 192 | Loss: 25.559 | Policy: 0.996 | Value: 49.134 | Entropy: 0.450
Episode 193 | Loss: 21.477 | Policy: 2.234 | Value: 38.496 | Entropy: 0.452
Episode 194 | Loss: 21.334 | Policy: 0.694 | Value: 41.288 | Entropy: 0.470
Episode 195 | Loss: 12.203 | Policy: 1.482 | Value: 21.451 | Entropy: 0.476
Episode 196 | Loss: 18.907 | Policy: 1.299 | Value: 35.224 | Entropy: 0.474
Episode 197 | Loss: 24.125 | Policy: 2.704 | Value: 42.851 | Entropy: 0.487
Episode 198 | Loss: 26.734 | Policy: 2.903 | Value: 47.673 | Entropy: 0.489
Episode 199 | Loss: 21.137 | Policy: 1.574 | Value: 39.136 | Entropy: 0.492
Episode 200 | Loss: 23.881 | Policy: 2.273 | Value: 43.227 | Entropy: 0.500
Episode 201 | Loss: 30.802 | Policy: 3.674 | Value: 54.266 | Entropy: 0.502
Episode 202 | Loss: 33.329 | Policy: 0.469 | Value: 65.731 | Entropy: 0.504
Episode 203 | Loss: 26.564 | Policy: 2.085 | Value: 48.969 | Entropy: 0.512
Episode 204 | Loss: 20.821 | Policy: 1.569 | Value: 38.515 | Entropy: 0.509
Episode 205 | Loss: 26.637 | Policy: 1.198 | Value: 50.888 | Entropy: 0.521
Episode 206 | Loss: 17.303 | Policy: 1.330 | Value: 31.956 | Entropy: 0.525
Episode 207 | Loss: 39.887 | Policy: 4.634 | Value: 70.517 | Entropy: 0.528
Episode 208 | Loss: 19.706 | Policy: 1.033 | Value: 37.357 | Entropy: 0.534
Episode 209 | Loss: 25.445 | Policy: 0.395 | Value: 50.111 | Entropy: 0.538
Episode 210 | Loss: 25.059 | Policy: 2.770 | Value: 44.588 | Entropy: 0.540
Episode 211 | Loss: 24.236 | Policy: 2.945 | Value: 42.594 | Entropy: 0.551
Episode 212 | Loss: 21.579 | Policy: 0.948 | Value: 41.274 | Entropy: 0.550
Episode 213 | Loss: 19.501 | Policy: 1.311 | Value: 36.390 | Entropy: 0.556
Episode 214 | Loss: 15.284 | Policy: 1.231 | Value: 28.118 | Entropy: 0.567
