Episode 131 | Loss: 0.712 | Policy: 0.516 | Value: 0.393 | Reward: -50.03
Episode 132 | Loss: 0.274 | Policy: 0.231 | Value: 0.086 | Reward: -50.03
Episode 133 | Loss: -0.053 | Policy: -0.105 | Value: 0.104 | Reward: -50.04
Episode 134 | Loss: 0.169 | Policy: -0.159 | Value: 0.657 | Reward: -40.03
Episode 135 | Loss: 0.136 | Policy: -0.140 | Value: 0.551 | Reward: -40.03
Episode 136 | Loss: 0.172 | Policy: 0.153 | Value: 0.039 | Reward: -60.03
Episode 137 | Loss: 0.007 | Policy: -0.059 | Value: 0.131 | Reward: -40.04
Episode 138 | Loss: 0.014 | Policy: 0.011 | Value: 0.007 | Reward: -40.03
Episode 139 | Loss: 0.958 | Policy: 0.656 | Value: 0.603 | Reward: -50.03
Episode 140 | Loss: 0.917 | Policy: 0.632 | Value: 0.571 | Reward: -40.03
Episode 141 | Loss: 1.155 | Policy: 0.754 | Value: 0.801 | Reward: -50.04
Episode 142 | Loss: 0.573 | Policy: 0.436 | Value: 0.273 | Reward: -50.03
Episode 143 | Loss: -0.046 | Policy: -0.053 | Value: 0.015 | Reward: -50.03
Episode 144 | Loss: 0.052 | Policy: -0.130 | Value: 0.365 | Reward: -40.04
Episode 145 | Loss: -0.056 | Policy: -0.111 | Value: 0.110 | Reward: -50.03
Episode 146 | Loss: -0.000 | Policy: -0.003 | Value: 0.006 | Reward: -50.04
Episode 147 | Loss: 0.238 | Policy: 0.207 | Value: 0.062 | Reward: -50.03
Episode 148 | Loss: 0.025 | Policy: 0.016 | Value: 0.018 | Reward: -40.03
Episode 149 | Loss: 0.143 | Policy: 0.124 | Value: 0.037 | Reward: -40.03
Episode 150 | Loss: 0.094 | Policy: 0.081 | Value: 0.025 | Reward: -40.03
Episode 151 | Loss: 0.030 | Policy: -0.022 | Value: 0.103 | Reward: -40.04
Episode 152 | Loss: 0.016 | Policy: -0.036 | Value: 0.104 | Reward: -40.04
Episode 153 | Loss: 0.016 | Policy: 0.013 | Value: 0.007 | Reward: -40.03
Episode 154 | Loss: 1.382 | Policy: 0.868 | Value: 1.028 | Reward: -60.03
Episode 155 | Loss: 0.801 | Policy: 0.565 | Value: 0.471 | Reward: -40.03
Episode 156 | Loss: 1.415 | Policy: 0.877 | Value: 1.076 | Reward: -60.04
Episode 157 | Loss: 0.399 | Policy: 0.312 | Value: 0.173 | Reward: -50.03
Episode 158 | Loss: -0.088 | Policy: -0.135 | Value: 0.093 | Reward: -50.03
Episode 159 | Loss: 0.066 | Policy: -0.202 | Value: 0.535 | Reward: -40.03
Episode 160 | Loss: -0.067 | Policy: -0.209 | Value: 0.284 | Reward: -50.03
Episode 161 | Loss: 0.020 | Policy: -0.138 | Value: 0.314 | Reward: -30.03
Episode 162 | Loss: 0.196 | Policy: 0.146 | Value: 0.100 | Reward: -40.03
Episode 163 | Loss: 0.454 | Policy: 0.337 | Value: 0.234 | Reward: -40.03
Episode 164 | Loss: 0.595 | Policy: 0.432 | Value: 0.325 | Reward: -50.04
Episode 165 | Loss: 0.196 | Policy: 0.158 | Value: 0.077 | Reward: -50.03
Episode 166 | Loss: -0.076 | Policy: -0.151 | Value: 0.151 | Reward: -50.03
Episode 167 | Loss: 0.140 | Policy: -0.190 | Value: 0.661 | Reward: -40.03
Episode 168 | Loss: 0.114 | Policy: -0.168 | Value: 0.565 | Reward: -40.03
Episode 169 | Loss: -0.057 | Policy: -0.076 | Value: 0.038 | Reward: -50.04
Episode 170 | Loss: 0.419 | Policy: 0.337 | Value: 0.165 | Reward: -50.03
Episode 171 | Loss: 0.421 | Policy: 0.338 | Value: 0.165 | Reward: -40.05
Episode 172 | Loss: 0.688 | Policy: 0.507 | Value: 0.360 | Reward: -50.03
Episode 173 | Loss: 0.029 | Policy: 0.000 | Value: 0.056 | Reward: -30.04
Episode 174 | Loss: 0.664 | Policy: 0.496 | Value: 0.335 | Reward: -60.04
Episode 175 | Loss: 0.009 | Policy: -0.039 | Value: 0.096 | Reward: -40.03
Episode 176 | Loss: 0.291 | Policy: 0.248 | Value: 0.087 | Reward: -60.03
Episode 177 | Loss: 0.207 | Policy: -0.097 | Value: 0.608 | Reward: -30.03
Episode 178 | Loss: -0.040 | Policy: -0.076 | Value: 0.072 | Reward: -50.03
Episode 179 | Loss: 0.041 | Policy: -0.051 | Value: 0.183 | Reward: -30.03
Episode 180 | Loss: 0.631 | Policy: 0.472 | Value: 0.318 | Reward: -50.03
Episode 181 | Loss: 0.946 | Policy: 0.648 | Value: 0.597 | Reward: -50.03
Episode 182 | Loss: 0.506 | Policy: 0.391 | Value: 0.231 | Reward: -40.03
Episode 183 | Loss: 0.122 | Policy: 0.107 | Value: 0.029 | Reward: -40.03
Episode 184 | Loss: 0.049 | Policy: 0.041 | Value: 0.016 | Reward: -60.03
Episode 185 | Loss: 0.205 | Policy: -0.274 | Value: 0.958 | Reward: -50.03
Episode 186 | Loss: 1.001 | Policy: -0.331 | Value: 2.665 | Reward: -40.04
Episode 187 | Loss: 0.733 | Policy: -0.394 | Value: 2.255 | Reward: -50.03
Episode 188 | Loss: 0.926 | Policy: -0.312 | Value: 2.475 | Reward: -40.03
Episode 189 | Loss: 0.177 | Policy: -0.241 | Value: 0.837 | Reward: -50.03
Episode 190 | Loss: -0.041 | Policy: -0.079 | Value: 0.077 | Reward: -50.03
Episode 191 | Loss: 0.340 | Policy: 0.281 | Value: 0.118 | Reward: -40.03
Episode 192 | Loss: 1.032 | Policy: 0.691 | Value: 0.681 | Reward: -40.03
Episode 193 | Loss: 1.335 | Policy: 0.837 | Value: 0.996 | Reward: -40.03
Episode 194 | Loss: 1.592 | Policy: 0.957 | Value: 1.270 | Reward: -50.03
Episode 195 | Loss: 0.217 | Policy: 0.176 | Value: 0.083 | Reward: -20.05
Episode 196 | Loss: 0.019 | Policy: 0.013 | Value: 0.011 | Reward: -40.04
Episode 197 | Loss: 0.012 | Policy: -0.042 | Value: 0.108 | Reward: -40.05
Episode 198 | Loss: 0.005 | Policy: -0.042 | Value: 0.093 | Reward: -40.03
Episode 199 | Loss: 0.602 | Policy: 0.458 | Value: 0.287 | Reward: -60.03
Episode 200 | Loss: 0.009 | Policy: 0.007 | Value: 0.004 | Reward: -40.03
