Episode 210 | Loss: 6.543 | Policy: -1.035 | Value: 15.155 | Reward: -1300.26
Episode 211 | Loss: 0.694 | Policy: 0.494 | Value: 0.402 | Reward: -1300.26
Episode 212 | Loss: 0.384 | Policy: 0.295 | Value: 0.178 | Reward: -1300.26
Episode 213 | Loss: 7.383 | Policy: -1.091 | Value: 16.947 | Reward: -1300.26
Episode 214 | Loss: 6.488 | Policy: -1.031 | Value: 15.039 | Reward: -1300.26
Episode 215 | Loss: 0.706 | Policy: 0.500 | Value: 0.411 | Reward: -1300.26
Episode 216 | Loss: 0.394 | Policy: 0.302 | Value: 0.184 | Reward: -1300.26
Episode 217 | Loss: 7.324 | Policy: -1.087 | Value: 16.821 | Reward: -1300.26
Episode 218 | Loss: 6.434 | Policy: -1.027 | Value: 14.923 | Reward: -1300.26
Episode 219 | Loss: 0.718 | Policy: 0.507 | Value: 0.421 | Reward: -1300.26
Episode 220 | Loss: 0.405 | Policy: 0.310 | Value: 0.190 | Reward: -1300.26
Episode 221 | Loss: 7.265 | Policy: -1.083 | Value: 16.695 | Reward: -1300.26
Episode 222 | Loss: 6.380 | Policy: -1.023 | Value: 14.807 | Reward: -1300.26
Episode 223 | Loss: 0.730 | Policy: 0.514 | Value: 0.431 | Reward: -1300.26
Episode 224 | Loss: 0.415 | Policy: 0.317 | Value: 0.197 | Reward: -1300.26
Episode 225 | Loss: 7.206 | Policy: -1.079 | Value: 16.569 | Reward: -1300.26
Episode 226 | Loss: 6.326 | Policy: -1.019 | Value: 14.691 | Reward: -1300.26
Episode 227 | Loss: 0.742 | Policy: 0.521 | Value: 0.441 | Reward: -1300.26
Episode 228 | Loss: 0.426 | Policy: 0.324 | Value: 0.203 | Reward: -1300.26
Episode 229 | Loss: 7.147 | Policy: -1.075 | Value: 16.443 | Reward: -1300.26
Episode 230 | Loss: 6.273 | Policy: -1.015 | Value: 14.576 | Reward: -1300.26
Episode 231 | Loss: 0.754 | Policy: 0.528 | Value: 0.451 | Reward: -1300.26
Episode 232 | Loss: 0.436 | Policy: 0.331 | Value: 0.210 | Reward: -1300.26
Episode 233 | Loss: 7.089 | Policy: -1.071 | Value: 16.319 | Reward: -1300.26
Episode 234 | Loss: 6.219 | Policy: -1.011 | Value: 14.462 | Reward: -1300.26
Episode 235 | Loss: 0.766 | Policy: 0.535 | Value: 0.461 | Reward: -1300.26
Episode 236 | Loss: 0.447 | Policy: 0.338 | Value: 0.217 | Reward: -1300.26
Episode 237 | Loss: 7.031 | Policy: -1.067 | Value: 16.195 | Reward: -1300.26
Episode 238 | Loss: 6.166 | Policy: -1.008 | Value: 14.348 | Reward: -1300.26
Episode 239 | Loss: 0.778 | Policy: 0.542 | Value: 0.472 | Reward: -1300.26
Episode 240 | Loss: 0.458 | Policy: 0.346 | Value: 0.224 | Reward: -1300.26
Episode 241 | Loss: 6.973 | Policy: -1.063 | Value: 16.072 | Reward: -1300.26
Episode 242 | Loss: 6.113 | Policy: -1.004 | Value: 14.234 | Reward: -1300.26
Episode 243 | Loss: 0.790 | Policy: 0.549 | Value: 0.483 | Reward: -1300.26
Episode 244 | Loss: 0.469 | Policy: 0.353 | Value: 0.231 | Reward: -1300.26
Episode 245 | Loss: 6.915 | Policy: -1.059 | Value: 15.949 | Reward: -1300.26
Episode 246 | Loss: 6.061 | Policy: -1.000 | Value: 14.122 | Reward: -1300.26
Episode 247 | Loss: 0.802 | Policy: 0.555 | Value: 0.493 | Reward: -1300.26
Episode 248 | Loss: 0.479 | Policy: 0.360 | Value: 0.239 | Reward: -1300.26
Episode 249 | Loss: 6.858 | Policy: -1.055 | Value: 15.827 | Reward: -1300.26
Episode 250 | Loss: 6.009 | Policy: -0.996 | Value: 14.010 | Reward: -1300.26
Episode 251 | Loss: 0.814 | Policy: 0.562 | Value: 0.504 | Reward: -1300.26
Episode 252 | Loss: 0.490 | Policy: 0.367 | Value: 0.246 | Reward: -1300.26
Episode 253 | Loss: 6.802 | Policy: -1.051 | Value: 15.706 | Reward: -1300.26
Episode 254 | Loss: 5.957 | Policy: -0.992 | Value: 13.898 | Reward: -1300.26
Episode 255 | Loss: 0.827 | Policy: 0.569 | Value: 0.515 | Reward: -1300.26
Episode 256 | Loss: 0.501 | Policy: 0.374 | Value: 0.254 | Reward: -1300.26
Episode 257 | Loss: 6.745 | Policy: -1.047 | Value: 15.585 | Reward: -1300.26
